property_title,location,number_of_rooms,price,size,listing_type
2-BEDROOM APARTMENT,Al Ansab,2,OMR300,,For Rent
2-BEDROOM APARTMENT,Shatti Al Qurum,2,OMR500,,For Rent
4+1 BEDROOM TWIN VILLA,Madinat Qaboos (MQ),4,"OMR1,500",,For Rent
COMMERCIAL SHOP,Ghala,39,OMR370,,For Rent
COMMERCIAL OFFICE SPACE,Bausher,2,OMR4,,For Rent
"2, 3 & 4-BEDROOM COMPOUND VILLAS",Rusayl,"2,3,4",OMR650,,For Rent
COMMERCIAL SPACE,Shatti Al Qurum,,OMR6,,For Rent
6+1 BEDROOM TWIN VILLA,Bausher,6,"OMR1,000",,For Rent
5+1 BEDROOM TWIN VILLA,Al Ansab,5,OMR750,,For Rent
RETAIL SPACES,Al Khuwair,,OMR7,,For Rent
Showroom- Fitted for Medical or Healthcare Use,,10,OMR7,,For Rent
COMMERCIAL SPACE,Azaiba,OUTSIDE,"OMR2,200",,For Rent
2-BEDROOM APARTMENT,Maabelah,2,OMR180,,For Rent
3-BEDROOM APARTMENT,Al Khuwair,3,OMR280,,For Rent
1 & 2-BEDROOM APARTMENT,Al Ghoubrah,1,OMR250,,For Rent
4-BEDROOM TWIN VILLA,Madinat Qaboos (MQ),4,OMR800,,For Rent
4-BEDROOM TWIN VILLA,,4,OMR700,,For Rent
4-BEDROOM VILLA,,4,OMR600,,For Rent
3-BEDROOM APARTMENT,Darsait,3,OMR400,,For Rent
2+1 BEDROOM APARTMENT,Al Ghoubrah,2,OMR550,,For Rent
5-BEDROOM TWIN VILLA,Madinat Qaboos (MQ),5,"OMR1,800",,For Rent
7-BEDROOM TWIN VILLA,Al Mawaleh,7,OMR675,,For Rent
5-BEDROOM COMPOUND VILLA,Madinat Al llam,5,OMR900,,For Rent
OFFICE SPACE,Muscat Hills,51.63,OMR6,,For Rent
3-BEDROOM TOWNHOUSE,The Wave Muscat,3,"OMR1,100",,For Rent
5-BEDROOM DETACHED VILLA,Muscat Hills,5,"OMR2,500",,For Rent
5-BEDROOM TWIN VILLA,Al Ansab,5,OMR700,,"For Rent, For Sale"
2-BEDROOM APARTMENT,Al Ghoubrah,2,OMR600,,For Rent
2-BEDROOM APARTMENT,Muscat Hills,2,OMR450,,For Rent
2-BEDROOM APARTMENT,Al Mawaleh,2,OMR275,,For Rent
4-BEDROOM TWIN VILLA,Al Mawaleh,4,OMR560,,For Rent
3-BEDROOM TWIN VILLA,Al Mawaleh,3,OMR560,,For Rent
1-BEDROOM APARTMENT,Muscat Hills,1,OMR375,,For Rent
6+2 BEDROOM STANDALONE VILLA,Qurum,6,"OMR1,300",,For Rent
6-BEDROOM APARTMENT,Al Khuwair,6,OMR550,,For Rent
4+1 BEDROOM COMPOUND VILLA,Shatti Al Qurum,4,OMR700,,For Rent
4+1 TWIN VILLA,Shatti Al Qurum,4,"OMR1,000",,"For Rent, For Sale"
4-BEDROOM TOWNHOUSE,Al Hail,4,OMR450,,For Rent
3+1 TOWNHOUSE,Maabelah,4,OMR600,,For Rent
2-BEDROOM TOWNHOUSE,Al Ansab,200,OMR650,,For Rent
2-BEDROOM APARTMENT,Al Ansab,2,OMR400,,For Rent
6-BEDROOM TWIN VILLA,Shatti Al Qurum,6,OMR700,,For Rent
6 BEDROOM DETACHED VILLA,Madinat Al llam,6,OMR850,,For Rent
4 BEDROOM TWIN-VILLA,Al Mawaleh,4,OMR700,,For Rent
Office Space,Bausher,55,OMR400,,For Rent
2 + 1 FULLY FURNISHED APARTMENT,Qurum,2,OMR500,,For Rent
5 BEDROOM TOWNHOUSE,Qurum,5,OMR850,,For Rent
5 BEDROOM TOWNHOUSE,Qurum,5,OMR950,,For Rent
2 BEDROOM APARTMENT,Shatti Al Qurum,2,OMR450,,For Rent
3 BEDROOM APARTMENT,Azaiba,3,OMR330,,For Rent
1 & 2 BEDROOM APARTMENT,Azaiba,2,OMR280,,For Rent
3BEDROOM FURNISHED TWIN VILLA IN (AL KHOUD),Al Khoudh,3,OMR400,,For Rent
